"Baths","Beds","Area","Fireplaces","Sale_Price","Garage_Cars","Year_Built"
1,3,1656,2,215000,2,1960
1,2,896,0,105000,1,1961
2,3,1329,0,172000,1,1958
3,3,2110,2,244000,2,1968
3,3,1629,1,189900,2,1997
3,3,1604,1,195500,2,1998
2,2,1338,0,213500,2,2001
2,2,1280,0,191500,2,1992
2,2,1616,1,236500,2,1995
3,3,1804,1,189000,2,1999
3,3,1655,1,175900,2,1993
2,3,1187,0,185000,2,1992
3,3,1465,1,180400,2,1998
2,2,1341,1,171500,2,1990
2,1,1502,0,212000,2,1985
4,4,3279,1,538000,3,2003
2,4,1752,0,164000,2,1988
2,1,1856,1,394432,3,2010
1,2,864,0,141000,2,1951
2,3,2073,2,210000,2,1978
2,3,1844,1,190000,2,1977
2,3,1173,2,170000,2,1974
3,3,1674,0,216000,2,2000
1,2,1004,1,149000,2,1970
2,3,1078,1,149900,2,1971
1,3,1056,1,142000,1,1968
1,2,882,0,126000,2,1970
1,3,864,1,115000,0,1971
2,2,1337,1,184000,2,1999
2,2,987,0,96000,1,1971
2,3,1092,0,105500,1,1971
2,3,1092,0,88000,1,1971
2,2,1069,1,127500,2,1977
3,3,1456,1,149900,2,1975
1,2,836,0,120000,1,1975
3,3,1456,1,146000,2,1978
3,3,2334,1,376162,3,2009
2,3,1704,1,306000,3,2007
3,3,1940,1,395192,3,2009
2,3,1544,0,290941,3,2009
2,3,1541,1,220000,2,2005
2,3,1698,1,275000,3,2005
2,3,1822,1,259000,3,2005
2,3,1535,0,214000,2,2004
3,2,2364,2,611657,3,2009
2,2,1358,1,224000,2,2009
3,3,2696,2,500000,3,2003
3,3,2250,1,320000,3,2002
2,2,1752,1,319900,2,2005
2,2,1370,1,205000,2,2006
3,2,1626,0,175500,2,2003
2,3,1324,0,199500,2,2005
2,2,1145,0,160000,2,2006
2,2,1269,1,192000,2,2004
3,3,1374,1,184500,2,2004
3,4,1960,2,216500,2,2002
3,3,1733,1,185088,2,2004
3,3,1430,1,180000,2,2000
3,3,2035,1,222500,2,2001
3,4,2599,1,333168,3,1999
3,4,2475,1,355000,3,1998
2,3,1720,1,260400,2,1996
3,3,2622,2,325000,2,1994
3,4,2270,1,290000,3,1999
3,4,1839,0,221000,2,1998
3,4,3238,1,410000,3,1995
2,2,1595,1,221500,3,2005
2,2,1218,0,204500,2,2009
3,3,1547,0,215200,2,2009
2,3,1566,0,262500,2,2008
3,3,1947,1,254900,2,2004
2,2,1468,1,271500,2,2005
